iyear,imonth,iday,region_txt,country_txt,latitude,longitude,nwound,nkill
2001,8,10,South America,Colombia,1.851988,-76.046976,0.0,5.0
2001,8,12,South America,Colombia,7.027541,-71.428724,0.0,0.0
2001,8,12,South America,Colombia,11.271111,-73.179167,6.0,2.0
2001,8,13,South America,Colombia,6.242026,-75.564766,0.0,0.0
2001,8,13,South America,Colombia,6.34053,-75.562227,0.0,0.0
2001,8,13,South America,Colombia,8.95736,-73.62346,0.0,0.0
2001,8,14,South America,Colombia,9.19974,-73.5433,0.0,0.0
2001,8,14,South America,Colombia,6.242026,-75.564766,0.0,0.0
2001,8,14,South America,Colombia,6.643708,-73.653621,0.0,0.0
2001,8,14,South America,Colombia,3.88182,-77.07042,0.0,0.0
2001,8,14,South America,Colombia,7.888219,-72.797697,0.0,0.0
2001,8,14,South America,Colombia,8.308585,-73.613541,0.0,0.0
2001,8,14,South America,Colombia,7.198606,-75.341218,0.0,0.0
2001,8,14,South America,Colombia,7.198606,-75.341218,0.0,0.0
2001,8,15,South America,Colombia,6.907503,-75.074961,0.0,6.0
2001,8,15,South America,Peru,-13.152712,-74.218628,0.0,0.0
2001,8,16,South America,Brazil,-22.656693,-43.039843,0.0,1.0
2001,8,17,South America,Colombia,3.382969,-76.586423,0.0,0.0
2001,8,18,South America,Colombia,10.98766,-74.95335,0.0,1.0
2001,8,18,South America,Colombia,5.449497,-74.667911,0.0,0.0
2001,8,19,South America,Venezuela,10.482834,-66.962128,0.0,0.0
2001,8,19,South America,Colombia,5.88423,-75.31635,0.0,0.0
2001,8,19,South America,Colombia,6.69402,-73.01879,0.0,0.0
2001,8,20,South America,Colombia,1.61456,-75.6053,0.0,0.0
2001,8,20,South America,Colombia,4.71854,-74.92843,0.0,0.0
2001,8,20,South America,Colombia,3.800889,-76.641271,0.0,0.0
2001,8,20,South America,Colombia,4.71365,-75.09733,0.0,0.0
2001,8,22,South America,Colombia,6.80966,-72.84968,0.0,0.0
2001,8,22,South America,Colombia,3.372457,-73.873772,0.0,0.0
2001,8,23,South America,Colombia,6.17215,-75.609571,0.0,0.0
2001,8,23,South America,Colombia,6.153669,-75.37416,0.0,0.0
2001,8,23,South America,Colombia,6.153669,-75.37416,0.0,0.0
2001,8,23,South America,Colombia,6.153669,-75.37416,0.0,0.0
2001,8,23,South America,Colombia,6.242026,-75.564766,0.0,0.0
2001,8,23,South America,Colombia,6.242026,-75.564766,0.0,0.0
2001,8,23,South America,Colombia,6.242026,-75.564766,0.0,0.0
2001,8,23,South America,Colombia,6.242026,-75.564766,0.0,0.0
2001,8,23,South America,Colombia,6.16914,-75.52406,0.0,0.0
2001,8,23,South America,Colombia,9.71809,-75.12097,0.0,0.0
2001,8,23,South America,Colombia,6.173826,-75.334737,20.0,1.0
2001,8,23,South America,Colombia,6.242026,-75.564766,10.0,0.0
2001,8,23,South America,Colombia,6.242026,-75.564766,20.0,0.0
2001,8,24,South America,Colombia,7.894195,-72.503885,0.0,0.0
2001,8,25,South America,Colombia,2.936848,-75.586642,3.0,0.0
2001,8,25,South America,Colombia,10.380159,-74.88082,0.0,0.0
2001,8,28,North America,Mexico,19.371887,-99.086624,0.0,0.0
2001,8,28,South America,Colombia,7.89014,-75.66967,6.0,6.0
2001,8,28,South America,Colombia,2.535935,-75.52767,0.0,0.0
